How long is the imaging session (answer in seconds; time from TTL HIGH to end of the aqusition)?0.00307416915894 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
4.91618800163 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.9481921196 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
4.96419405937 , array('B', [0, 0, 255, 255, 255, 255, 0, 0])
4.98031210899 , array('B', [0, 0, 255, 255, 255, 255, 0, 0])
5.01222014427 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.10821914673 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.12421607971 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
5.14021801949 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.18822717667 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.23623919487 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.25223612785 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.26823616028 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.28423500061 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.31624603271 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
5.33224320412 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.34825110435 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
5.36424899101 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.38024902344 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
5.44426202774 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.47626304626 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.49226403236 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.58828306198 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.63628697395 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.6522860527 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.66828799248 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
5.68428897858 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.70029211044 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
5.71629500389 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
5.73229598999 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.74830508232 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
5.76430010796 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.82831501961 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.84431099892 , array('B', [0, 0, 1, 0, 0, 0, 0, 0])
5.94032812119 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.95632719994 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
5.97232604027 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
5.9883351326 , array('B', [0, 0, 0, 0, 255, 255, 0, 0])
6.00433206558 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.03633999825 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.08434414864 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.13235402107 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.14835214615 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.16435313225 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.19636297226 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.21237516403 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.22836208344 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
6.24436211586 , array('B', [0, 0, 255, 255, 0, 0, 0, 0])
6.26036214828 , array('B', [0, 0, 0, 0, 1, 0, 0, 0])
